price,house_type,acreage,width,length,bedrooms,bathrooms,floors,legal_status,street,ward,district,city
14.5,"Nhà mặt phố, mặt tiền",59.4,3.6,16.5,4,5,4,Đã có sổ,Duong Au Duong Lan, Phường 2, Quận 8, Tp Hồ Chí Minh
4.6,"Nhà ngõ, hẻm",59.8,4.6,13,6,2,2,Đã có sổ,Duong Lien Tinh 5, Phường 5, Quận 8, Tp Hồ Chí Minh
3.75,"Nhà ngõ, hẻm",66,4.4,15,3,1,1,Đã có sổ,Duong Nguyen Duy, Phường 9, Quận 8, Tp Hồ Chí Minh
5.38,"Nhà ngõ, hẻm",44.8,3.2,14,4,3,4,Đã có sổ,Duong Nguyen Thi Tan, Phường 2, Quận 8, Tp Hồ Chí Minh
2.69,"Nhà ngõ, hẻm",34.58,4.28,8.08,2,2,2,Đã có sổ,Duong Pham The Hien, Phường 7, Quận 8, Tp Hồ Chí Minh
4.55,"Nhà ngõ, hẻm",51,3,17,3,3,2,Đã có sổ,Duong Luu Huu Phuoc, Phường 15, Quận 8, Tp Hồ Chí Minh
3.2,"Nhà ngõ, hẻm",52,4,13,3,2,2,Đã có sổ,Duong Binh Dong, Phường 15, Quận 8, Tp Hồ Chí Minh
2.8,"Nhà ngõ, hẻm",23.4,2.6,9,2,2,2,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
5.99,"Nhà ngõ, hẻm",37.4,3.4,11,3,3,4,Đã có sổ,Duong Tran Nguyen Han, Phường 13, Quận 8, Tp Hồ Chí Minh
1.9,"Nhà ngõ, hẻm",24,3,8,3,2,3,Đã có sổ,Duong Le Thanh Phuong, Phường 14, Quận 8, Tp Hồ Chí Minh
2.35,"Nhà ngõ, hẻm",11.96,2.3,5.2,2,3,3,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
3.95,"Nhà ngõ, hẻm",30,3,10,2,2,2,Đã có sổ,Duong Nguyen Duy, Phường 9, Quận 8, Tp Hồ Chí Minh
4.55,"Nhà ngõ, hẻm",34,3.4,10,2,2,2,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
2.7,"Nhà ngõ, hẻm",40.5,4.5,9,2,1,2,Đã có sổ,Duong Ben Me Coc, Phường 15, Quận 8, Tp Hồ Chí Minh
4.25,"Nhà ngõ, hẻm",29.1,3,9.7,2,2,2,Đã có sổ,Duong Bui Minh Truc, Phường 5, Quận 8, Tp Hồ Chí Minh
7.88,"Nhà mặt phố, mặt tiền",57.8,3.4,17,3,2,2,Đã có sổ,Duong Bong Sao, Phường 5, Quận 8, Tp Hồ Chí Minh
3.386,"Nhà ngõ, hẻm",25.6,2.87,8.92,3,2,3,Đã có sổ,Duong Dong Ho, Phường 4, Quận 8, Tp Hồ Chí Minh
2.98,"Nhà ngõ, hẻm",24.3,2.7,9,2,2,2,Đã có sổ,Duong Nguyen Thi Tan, Phường 2, Quận 8, Tp Hồ Chí Minh
5.3,"Nhà ngõ, hẻm",46,4,11.5,4,3,4,Đã có sổ,Duong Lien Tinh 5, Phường 6, Quận 8, Tp Hồ Chí Minh
4.5,"Nhà ngõ, hẻm",90,6,15,4,3,1,Đã có sổ,Duong Luu Huu Phuoc, Phường 15, Quận 8, Tp Hồ Chí Minh
5.78,"Nhà ngõ, hẻm",41.6,3.2,13,4,5,4,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
4.5,"Nhà ngõ, hẻm",90,6,15,4,2,1,Đã có sổ,Duong Luu Huu Phuoc, Phường 15, Quận 8, Tp Hồ Chí Minh
9.5,"Nhà mặt phố, mặt tiền",119,7,17,7,7,2,Đã có sổ,Duong Ta Quang Buu, Phường 2, Quận 8, Tp Hồ Chí Minh
19,"Nhà mặt phố, mặt tiền",78,4,19.5,6,5,5,Đã có sổ,Duong Ta Quang Buu, Phường 5, Quận 8, Tp Hồ Chí Minh
4.6,"Nhà ngõ, hẻm",32,4,8,2,2,2,Đã có sổ,Duong Phu Dinh, Phường 16, Quận 8, Tp Hồ Chí Minh
1.98,"Nhà ngõ, hẻm",13.2,3.3,4,1,2,2,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
8.9,"Nhà mặt phố, mặt tiền",49.74,3.4,14.63,5,7,4,Đã có sổ,Duong Tung Thien Vuong, Phường 11, Quận 8, Tp Hồ Chí Minh
18.5,"Nhà mặt phố, mặt tiền",81.4,3.7,22,3,2,2,Đã có sổ,Duong Tung Thien Vuong, Phường 12, Quận 8, Tp Hồ Chí Minh
4.5,"Nhà ngõ, hẻm",34,3.4,10,2,2,1,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
44,"Nhà mặt phố, mặt tiền",160,8,20,5,5,3,Đã có sổ,Duong Ta Quang Buu, Phường 5, Quận 8, Tp Hồ Chí Minh
2.5,"Nhà ngõ, hẻm",40,2,20,3,2,2,Đã có sổ,Duong Luu Huu Phuoc, Phường 15, Quận 8, Tp Hồ Chí Minh
5.78,"Nhà ngõ, hẻm",37.5,3,12.5,4,4,4,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
0.55,"Nhà ngõ, hẻm",18,3,6,1,1,1,Không có sổ,Duong Quoc Lo 50, Phường 5, Quận 8, Tp Hồ Chí Minh
2.499,"Nhà ngõ, hẻm",24,4,6,2,1,2,Đã có sổ,Duong Luong Van Can, Phường 15, Quận 8, Tp Hồ Chí Minh
25.5,"Nhà mặt phố, mặt tiền",149.65,4.1,36.5,11,7,6,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
2.58,"Nhà ngõ, hẻm",17.5,2.5,7,2,1,2,Đã có sổ,Duong Bong Sao, Phường 5, Quận 8, Tp Hồ Chí Minh
5.65,"Nhà ngõ, hẻm",40,3.2,12.5,5,5,4,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
6.8,"Nhà ngõ, hẻm",50,4,12.5,4,3,4,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
3.3,"Nhà ngõ, hẻm",24,3,8,2,2,2,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
0.85,"Nhà ngõ, hẻm",21,3.5,6,2,2,2,Sổ chung / công chứng vi bằng,Duong Ta Quang Buu, Phường 5, Quận 8, Tp Hồ Chí Minh
1.735,"Nhà mặt phố, mặt tiền",10,2,5,3,3,1,Đã có sổ,Duong Pham The Hien, Phường 4, Quận 8, Tp Hồ Chí Minh
3.6,Nhà phố liền kề,27,3,9,2,2,1,Đã có sổ,Duong Bong Sao, Phường 5, Quận 8, Tp Hồ Chí Minh
7.8,"Nhà ngõ, hẻm",84,4,21,6,4,4,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
8.8,"Nhà ngõ, hẻm",64.4,4.6,14,4,4,4,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
5.25,"Nhà ngõ, hẻm",36.55,4.3,8.5,3,3,3,Đã có sổ,Duong Duong Ba Trac, Phường 2, Quận 8, Tp Hồ Chí Minh
1.75,"Nhà ngõ, hẻm",12.8,4,3.2,1,2,2,Đã có sổ,Duong Hung Phu, Phường 8, Quận 8, Tp Hồ Chí Minh
2.8,"Nhà ngõ, hẻm",24,2,12,2,1,2,Đã có sổ,Duong Luu Huu Phuoc, Phường 15, Quận 8, Tp Hồ Chí Minh
2.75,"Nhà ngõ, hẻm",22.4,3.2,7,2,1,2,Đã có sổ,Duong Pham The Hien, Phường 6, Quận 8, Tp Hồ Chí Minh
6.5,"Nhà ngõ, hẻm",44,4,11,5,6,5,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
3.2,"Nhà ngõ, hẻm",24,3,8,2,2,2,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
3.99,"Nhà ngõ, hẻm",56,4,14,2,2,2,Đã có sổ,Duong Pham The Hien, Phường 7, Quận 8, Tp Hồ Chí Minh
2.7,"Nhà ngõ, hẻm",45.6,3.8,12,2,2,2,Đã có sổ,Duong Nguyen Si Co, Phường 15, Quận 8, Tp Hồ Chí Minh
3.68,"Nhà ngõ, hẻm",28.08,3.6,7.8,2,2,2,Đã có sổ,Duong Tung Thien Vuong, Phường 13, Quận 8, Tp Hồ Chí Minh
1.28,"Nhà ngõ, hẻm",31.97,3.58,8.93,2,2,2,Đã có sổ,Duong Bui Minh Truc, Phường 5, Quận 8, Tp Hồ Chí Minh
5.78,"Nhà ngõ, hẻm",41.6,3.2,13,4,5,3,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
8.5,"Nhà ngõ, hẻm",102.6,5.7,18,5,5,2,Đã có sổ,Duong Cao Xuan Duc, Phường 12, Quận 8, Tp Hồ Chí Minh
8.5,"Nhà mặt phố, mặt tiền",64,4,16,4,4,3,Đã có sổ,Duong Bui Minh Truc, Phường 5, Quận 8, Tp Hồ Chí Minh
